iter	Passed	Remaining
0	876	437371
1	1536	382488
2	2136	353918
3	2868	355638
4	3661	362498
5	4497	370258
6	5395	380021
7	6427	395272
8	7150	390093
9	7721	378343
10	8456	375910
11	9029	367186
12	9780	366390
13	10416	361595
14	11097	358834
15	11832	357940
16	12493	354953
17	13223	354091
18	13880	351400
19	14648	351573
20	15319	349422
21	16043	348573
22	16736	347090
23	17300	343130
24	17979	341614
25	18545	338102
26	19275	337686
27	19986	336915
28	20531	333455
29	21355	334574
30	22038	333424
31	22743	332616
32	23429	331569
33	24044	329550
34	24705	328228
35	25433	327812
36	26165	327422
37	26859	326556
38	27427	324212
39	28158	323821
40	28946	324058
41	29596	322744
42	30208	321050
43	30936	320610
44	31625	319770
45	32203	317831
46	32739	315553
47	33430	314808
48	34170	314506
49	34849	313644
50	35537	312871
51	36190	311795
52	36877	311026
53	37614	310671
54	38269	309634
55	39029	309449
56	39700	308549
57	40433	308134
58	41003	306486
59	41526	304525
60	42210	303780
61	42811	302440
62	43391	300986
63	43991	299690
64	44719	299274
65	45390	298477
66	46095	297899
67	46674	296521
68	47230	295018
69	48133	295676
70	49028	296239
71	49939	296859
72	50663	296346
73	51295	295293
74	51993	294629
75	52665	293815
76	53382	293257
77	53901	291622
78	54628	291119
79	55309	290377
80	56053	289953
81	56807	289579
82	57518	288976
83	58247	288463
84	58962	287878
85	59742	287596
86	60451	286972
87	61108	286096
88	61807	285423
89	62627	285304
90	63465	285246
91	64229	284844
92	64872	283903
93	65516	282977
94	66219	282303
95	66878	281446
96	67509	280476
97	68214	279817
98	68846	278864
99	69395	277581
100	70198	277318
101	70942	276816
102	71565	275838
103	72257	275135
104	72904	274261
105	73371	272722
106	73888	271384
107	74575	270680
108	75269	270004
109	75985	269403
110	76693	268772
111	77322	267868
112	77904	266804
113	78545	265953
114	79121	264885
115	79930	264598
116	80602	263853
117	81227	262956
118	81837	262017
119	82453	261102
120	83186	260560
121	83912	259991
122	84566	259198
123	85147	258189
124	85881	257645
125	86392	256435
126	87140	255933
127	87733	254976
128	88470	254437
129	89176	253809
130	89959	253397
131	90603	252591
132	91176	251591
133	91896	251001
134	92625	250431
135	93306	249731
136	93993	249049
137	94709	248441
138	95270	247429
139	95999	246855
140	96827	246531
141	97412	245589
142	98030	244732
143	98721	244062
144	99530	243678
145	100197	242943
146	100868	242220
147	101629	241712
148	102194	240740
149	102722	239685
150	103439	239076
151	104175	238506
152	104871	237846
153	105355	236708
154	105851	235604
155	106536	234927
156	107259	234331
157	107807	233356
158	108494	232682
159	109034	231698
160	109605	230783
161	110278	230087
162	111018	229528
163	111671	228791
164	112221	227844
165	112826	227012
166	113617	226554
167	114394	226066
168	115119	225470
169	115819	224826
170	116480	224105
171	117159	223419
172	117664	222405
173	118290	221624
174	118821	220669
175	119447	219892
176	120229	219401
177	121040	218960
178	121759	218351
179	122239	217313
180	122835	216489
181	123528	215834
182	124208	215158
183	124883	214474
184	125500	213690
185	126217	213077
186	126715	212096
187	127191	211083
188	127757	210224
189	128343	209402
190	129111	208877
191	129671	208014
192	130318	207293
193	130971	206584
194	131694	205983
195	132294	205191
196	132936	204465
197	133541	203684
198	134192	202974
199	134861	202292
200	135514	201586
201	136226	200967
202	136921	200323
203	137661	199743
204	138415	199183
205	139129	198563
206	139831	197926
207	140510	197255
208	141280	196711
209	141947	196023
210	142713	195470
211	143456	194883
212	144103	194167
213	144712	193400
214	145385	192720
215	146072	192057
216	146729	191356
217	147506	190811
218	148058	189974
219	148879	189483
220	149486	188718
221	150156	188033
222	150832	187356
223	151463	186624
224	152158	185971
225	152770	185217
226	153415	184504
227	154067	183799
228	154714	183089
229	155359	182378
230	156094	181772
231	156754	181078
232	157385	180351
233	158009	179617
234	158607	178855
235	159337	178242
236	160002	177555
237	160598	176792
238	161100	175930
239	161835	175321
240	162472	174607
241	163217	174008
242	163925	173370
243	164540	172632
244	165218	171962
245	165949	171345
246	166705	170754
247	167344	170044
248	168011	169360
249	168802	168802
250	169565	168214
251	170397	167693
252	171295	167233
253	171974	166557
254	172756	165981
255	173406	165277
256	174156	164669
257	174956	164106
258	175669	163460
259	176299	162738
260	176900	161989
261	177696	161419
262	178510	160863
263	179235	160225
264	179918	159550
265	180653	158920
266	181382	158285
267	182114	157650
268	182590	156797
269	183174	156037
270	183899	155398
271	184500	154655
272	184998	153826
273	185740	153201
274	186196	152342
275	186949	151727
276	187768	151163
277	188469	150504
278	188920	149646
279	189535	148920
280	189994	148074
281	190528	147287
282	191117	146546
283	191618	145737
284	192302	145070
285	192942	144369
286	193503	143610
287	193996	142802
288	194582	142065
289	195406	141501
290	196184	140902
291	196799	140185
292	197547	139564
293	198303	138947
294	199000	138288
295	199675	137613
296	200391	136967
297	201040	136275
298	201779	135644
299	202521	135014
300	203243	134370
301	204156	133850
302	204875	133202
303	205492	132488
304	206124	131784
305	206700	131045
306	207386	130376
307	207976	129647
308	208623	128954
309	209307	128285
310	210001	127621
311	210659	126935
312	211427	126316
313	212078	125626
314	212841	125002
315	213489	124310
316	214145	123623
317	214700	122878
318	215417	122227
319	216059	121533
320	216667	120821
321	217295	120119
322	217967	119443
323	218848	118880
324	219614	118253
325	220434	117654
326	221060	116952
327	221702	116258
328	222463	115627
329	223292	115029
330	223948	114342
331	224676	113691
332	225299	112988
333	225953	112300
334	226556	111587
335	227292	110940
336	228029	110293
337	228787	109655
338	229538	109013
339	230356	108403
340	231130	107770
341	231866	107119
342	232575	106455
343	233306	105801
344	233822	105050
345	234386	104322
346	235135	103676
347	235807	102996
348	236368	102268
349	237027	101583
350	237438	100792
351	238290	100190
352	239003	99528
353	239791	98896
354	240640	98289
355	241339	97620
356	242074	96965
357	242718	96273
358	243353	95578
