user_id,item_id
0,2256 790 760 1044 331 2732 2397 472 3696 1545
1,3656 1686 232 1039 1699 106 2175 2833 169 1573
2,2338 1956 2132 2639 2256 2185 452 1809 293 312
3,1617 488 2194 2281 2186 3472 621 3036 3358 3318
4,1560 3677 1809 37 3365 3350 527 1490 188 94
5,3409 1376 1193 2056 2700 2281 1223 2054 3418 1341
6,1678 3402 3367 863 3438 2602 1227 1023 2308 1887
7,2210 1746 3238 2250 2175 584 3441 2630 3415 3463
8,1678 2297 3600 3701 2397 2338 2218 3579 583 175
9,2602 2054 1560 1592 2784 487 1968 124 320 3101
10,1505 1590 1858 3116 1456 1039 333 2885 1781 1916
11,283 16 2620 1956 2862 3535 2054 2308 771 1039
12,2534 2210 2036 892 1045 2261 971 1960 3141 190
13,2626 3692 2828 3215 16 132 1030 2602 2732 1172
14,3119 2370 1470 2639 2402 43 2132 2342 527 1984
15,246 989 2646 1887 1668 1422 1052 728 3431 2342
16,2054 872 3677 1227 817 1814 3474 361 37 1193
17,2626 1831 3272 3153 2606 3349 2857 1002 1746 1191
18,640 1505 1638 3013 2541 1216 3000 2664 1300 1044
19,3409 3656 138 523 3424 1560 512 2474 2933 2732
20,1615 863 3448 2370 3677 3402 3390 1887 1371 2774
21,1699 1166 1316 2038 791 3544 2606 2564 2908 781
22,2402 183 3059 2646 732 1001 3205 1848 2688 527
23,2673 922 3105 1912 1341 3059 2256 3474 1001 2470
24,2387 3013 1638 796 2557 584 2534 124 3151 1337
25,2828 3668 2370 1296 1720 293 3151 584 2121 2830
26,124 3153 2564 463 2528 3272 2054 476 3402 409
27,487 333 124 2169 2128 2564 640 3272 1615 69
28,36 1960 2297 3022 3409 2603 2331 1030 2745 93
29,573 93 36 2291 2230 382 2384 190 3653 3465
30,237 401 1096 1172 2224 3382 82 3371 2054 760
31,2653 650 2397 3350 3327 1044 530 1809 1731 785
32,463 1868 3423 452 1615 472 1545 1086 1279 1592
33,640 2297 1809 2688 2732 2222 2067 3046 293 1490
34,1376 3418 3692 2281 3528 1887 2931 1946 1807 1223
35,1543 1223 2862 3409 3013 2603 2402 2745 741 3692
36,3529 3365 3119 3256 2862 3205 3677 3133 472 2774
37,1808 3692 1723 2063 2528 451 289 530 73 3535
38,3528 983 2190 672 743 1428 2259 2757 1681 1956
39,1052 482 3157 1633 2132 2484 2376 2354 989 1510
40,472 2297 1887 152 409 3013 1504 3022 2281 1560
41,2862 1583 2653 2297 3311 2488 320 279 801 971
42,106 2397 2928 1501 734 1808 109 2492 304 2410
43,3529 584 2501 3053 3473 1831 2630 2331 2493 3215
44,2338 2054 1545 208 1638 312 2653 2397 3005 1811
45,2297 1583 2603 169 1855 1831 2688 1078 2314 2633
46,2603 2222 2817 2636 3194 168 501 625 2493 1545
47,607 785 3264 2493 2895 2036 482 406 3534 37
48,1592 3423 3269 3023 1543 169 528 382 3013 463
49,2653 1868 1545 174 1272 1037 107 3656 488 3035
50,1855 2626 1583 2510 1546 2603 2784 16 2636 1711
51,2402 3256 2068 2376 2862 527 452 3677 43 3119
52,3298 1510 2210 208 3701 2409 3435 2646 535 2956
53,1223 1505 2510 2564 2493 2817 1543 1487 2222 3269
54,2397 246 863 1809 3272 2314 3013 3005 2847 1491
