user_id,item_id
0,1590 331 237 3463 3705 3528 2256 1668 52 1248
1,2484 106 1491 3656 2340 3529 2175 1686 563 232
2,2185 2639 3358 1560 293 1809 452 2338 2354 543
3,2186 2342 3318 1617 3036 1191 1690 3002 457 3472
4,1809 3677 37 707 1505 1858 2132 2222 3157 2076
5,1533 2820 2297 598 1193 2309 2281 2122 1102 2387
6,2528 1678 1023 166 2308 863 3438 467 3205 3669
7,1746 3441 2630 3238 3051 2745 2210 2250 2175 3415
8,1543 2397 1678 3701 833 1648 1137 1858 84 175
9,2054 320 2602 3101 124 2345 2784 2306 1746 1560
10,1505 1590 1916 3656 1583 2840 1858 37 279 2885
11,283 16 3367 2308 2054 2620 2862 947 1491 763
12,2036 892 2534 2210 1960 1045 2261 1753 3141 2327
13,2626 16 3692 3408 3215 401 1615 2828 2602 2470
14,3119 43 1984 2639 2342 1470 2382 2622 2402 2132
15,246 1422 989 650 2492 2140 2382 109 1887 728
16,872 2054 817 1193 3677 2215 1678 138 1814 295
17,3448 2528 2326 2519 3153 3367 1590 944 1831 3066
18,1505 640 1216 3000 1044 2541 1300 1603 1376 3262
19,931 3409 2732 138 3656 512 863 2265 1797 1924
20,1227 2370 863 3402 3677 2122 3448 1887 508 2376
21,1699 1615 1166 791 2038 3059 3544 1316 1401 126
22,3059 183 1690 2636 527 790 2221 452 1811 1861
23,2673 1912 3059 922 3105 1001 1782 2470 1341 2363
24,2387 2653 1475 2980 2557 3151 2534 124 584 402
25,2121 1296 2474 2828 3638 2389 677 293 2370 3367
26,3153 3272 2564 124 476 880 463 3448 3353 2086
27,333 3172 124 3153 2706 1950 1124 3441 2128 863
28,36 2331 2297 2745 1960 93 3272 3441 2980 1316
29,93 36 2230 573 2291 1638 382 190 2384 3364
30,1096 611 237 1614 3371 760 1341 1172 3382 3059
31,1840 3350 3298 3327 1044 2653 2397 1096 2617 1731
32,1545 1086 452 3002 2389 3367 1868 3382 312 2732
33,640 1809 2222 3046 1365 3463 293 2688 1746 2175
34,3692 1614 2789 2745 2224 2817 779 1102 2248 790
35,2603 3692 1543 3013 2862 3272 3409 3151 3059 2256
36,3256 3119 3365 3529 482 2622 3205 3133 527 2139
37,1808 2063 2515 3424 1049 2165 2773 1723 3692 2820
38,743 2190 121 672 3528 1490 1681 2259 983 2757
39,2376 1052 3157 989 2132 3119 427 482 1510 2354
40,152 204 1668 1887 1240 1700 1337 2281 1505 966
41,2653 1583 771 2488 3311 320 2967 1568 1916 2337
42,106 2410 1501 734 189 2397 702 109 304 3031
43,2789 3053 584 2331 3473 3215 2501 283 2630 1223
44,208 2338 3409 3238 3411 1490 2397 1545 1700 1287
45,2603 1583 2688 1078 2633 1831 1855 132 169 2297
46,2222 2603 2817 168 3194 625 170 1555 708 2636
47,598 2136 3534 147 1510 2215 2493 2830 3247 502
48,3269 3141 124 3023 1592 1011 214 3652 3436 1083
49,1272 1868 174 810 2363 2653 1037 3035 3656 1545
50,2510 1855 1583 1546 2626 1711 2603 16 1216 2633
51,3256 2068 43 3133 2376 3119 2382 1422 527 1371
52,3298 2210 2331 2328 1278 1510 3338 2409 3262 3272
53,1505 2222 3372 2817 1487 2510 3606 168 798 81
54,2847 2397 3441 1191 246 1809 1099 563 863 2376
55,2068 640 1032 3153 2210 1422 467 528 741 799
56,2297 2931 2910 2947 1039 2898 779 2830 707 2643
57,2688 774 3180 2835 398 1946 3551 813 1753 3272
58,2862 152 3418 3382 1614 2789 2336 3659 3131 1711
59,1808 931 3367 741 3535 135 872 1946 3653 494
60,796 1511 971 2230 741 124 6 1505 3409 1543
61,3049 649 502 1753 2757 119 1081 1375 3203 1108
